5,2.50318609398249
10,6.19612854034729
15,12.8394519226422
20,23.6038070448228
25,39.871356300286
30,63.235773671871
35,95.5022447318576
40,138.687466641968
45,195.019648153365
50,266.938509606654
55,357.095282931882
60,468.352711648535
65,603.785050865545
70,766.678067281281
75,960.529039183558
80,1189.04675644963
85,1456.15152054619
90,1765.97514452937
95,2122.86095304477
100,2531.36378232739
105,2996.24998020169
110,3522.49740608159
115,4115.29543097043
120,4780.04493746099
125,5522.3583197355
130,6348.05948356563
135,7263.1838463125
140,8273.97833692665
145,9386.90139594808
150,10608.6229755062
155,11946.02453932
160,13406.1990626976
165,14996.451032537
170,16724.2964473252
175,18597.4628171389
180,20623.8891636442
185,22811.7260200967
190,25169.3354313412
195,27705.2909538123
200,30428.3776555337
